,Type of territory,Borough / Linked city,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?,label
924,1,25,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
610,1,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,4,3,5,0,2
311,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
1078,1,25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,1,4,1,1,1
1475,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,3,4,3,0,2,1,1,1
938,2,19,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,2,2,3,1,4,3,5,1,2
1337,1,26,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,1
223,1,26,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,4,0,3,1,4,3,5,1,1
789,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1781,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
291,1,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
494,1,22,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,2,1,2,3,4,3,5,1,1
899,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,3,4,3,5,2,3
522,1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
290,2,27,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,3,3,4,3,5,1,1
1250,0,28,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,3,4,3,0,2,1,1,1
1635,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,2,5,4,1,1,1
260,1,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1190,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,0,2,0,1,1
329,1,21,1,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,2,4,1,2,3,4,3,5,1,0
334,1,21,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,0
1197,1,26,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,2,3,5,3,1,2
5,1,11,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,2,1,1,4,3,5,1,1
1594,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,1,1,1
320,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,4,4,3,5,1,1
1077,1,25,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
1575,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,3,4,0,0,2,1,1,2
467,1,26,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,4,3,5,1,2
779,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,2,4,1,2,3,4,3,5,1,0
1657,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,3,3,4,1,1,4,0,1,1
428,2,14,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,1,4,3,5,1,1
255,1,24,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,1,2,0,4,3,5,1,1
716,1,23,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,3
278,1,24,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,4,3,5,1,2
476,1,22,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,2,4,3,4,3,4,3,5,2,0
169,1,21,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,2,0,1,0,4,3,5,1,0
82,1,11,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,0
1020,1,21,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,1,4,3,5,1,1
1327,1,13,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,2
19,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,2,5,0,3,3,4,3,5,1,0
1616,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,2
1383,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
702,1,18,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,4,3,5,1,1
168,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,0
945,1,23,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,0,4,3,5,1,1
870,1,25,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,1
60,1,21,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,2,4,0,3,3,4,3,5,1,2
188,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,1,4,3,5,1,1
1809,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,2,3,4,0,1,4,1,1,1
916,1,15,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1618,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
577,2,27,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1859,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,1,4,1,1,1
472,1,11,0,0,0,0,1,0,1,0,0,0,0,1,1,1,1,1,0,2,4,0,3,1,4,3,5,1,1
1627,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,3,4,3,1,4,1,1,1
1474,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
630,2,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,3,5,1,2
1427,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1135,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,3,3,4,3,3,4,3,1,2
982,1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,3,3,4,3,5,1,1
1675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,2,3,4,3,2,5,6,0,1
1697,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
482,1,25,1,0,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,0,2,1,2,3,4,3,5,1,1
158,1,11,1,1,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,2,4,1,2,3,4,3,5,1,2
999,1,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,1,2,3,4,3,5,2,1
1033,1,15,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1118,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
575,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,3,5,1,2
842,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,4,3,5,2,1
1504,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,3,4,3,1,4,1,1,1
1004,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
1472,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1245,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,2,4,3,1,1
156,1,26,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
994,1,21,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
29,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,4,3,5,1,2
1578,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,0,2,1
1686,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
1785,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1117,1,20,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,0,0,2,0,1,1
1002,1,15,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,3,3,1,2,3,4,3,5,1,1
653,1,23,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,4,3,5,0,1
295,2,27,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,2,4,0,3,3,4,3,5,1,2
62,1,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1317,1,22,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,4,3,4,3,2,5,0,1,1
68,1,24,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,2,4,2,1,1,4,3,5,1,1
1169,1,21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,2,4,3,1,1
707,1,4,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,4,3,5,1,3
1712,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,0,1,4,1,1,1
1014,1,15,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,2,3,4,2,4,3,5,2,1
1648,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1581,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
669,1,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,1,2,3,4,3,5,1,1
1238,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,1,5,4,6,1,1
811,1,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,2,4,3,5,1,1
1295,1,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,2
1733,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,1,1,4,1,1,1
648,1,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,3,4,0,4,3,5,2,1
1436,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,2,5,3,1,1
890,1,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
816,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,2
423,1,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
73,1,11,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
646,1,23,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,1,2,2,4,3,5,1,0
212,1,26,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,3
326,1,11,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,4,3,5,1,2
1222,1,15,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,3,2,5,3,1,1
990,1,21,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,2,1,2,3,4,3,5,1,2
720,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,1
726,1,18,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,2,4,3,5,1,1
871,2,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
730,2,5,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1,2,4,4,3,5,2,1
1265,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,0,0,2,1,2,1
518,2,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,1,2,3,4,3,5,1,1
151,1,26,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,0
1455,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,2,3,4,3,2,5,3,1,1
937,1,4,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,2,0,3,0,4,3,5,1,1
430,1,11,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,3,0,1,1,4,3,5,1,3
751,1,4,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,2,1,2,3,4,3,5,1,2
1468,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1780,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
913,1,23,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,3,4,3,5,1,1
447,1,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
963,1,13,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,2,0,1,3,4,3,5,1,2
1720,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1210,1,11,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,1,5,4,6,1,1
1689,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,3,0,2,1,1,1
1763,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,3,4,1,0,2,3,1,1
542,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,0,1,4,1,1,1
1761,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,1,1,1
1025,1,20,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,2,3,4,3,5,1,1
373,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,5,0,3,3,4,3,5,2,1
915,1,2,1,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,1,2,3,4,3,5,1,0
1042,1,15,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,2,3,4,3,5,1,1
1209,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,1,3
1098,2,16,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,3,0,1,2,4,3,5,1,1
1352,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,4,0,0,2,0,1,1
958,1,18,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2,0,1,0,4,3,5,1,2
1509,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
1345,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,5,4,6,1,1
1255,1,26,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,1
445,1,26,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,2,1,2,3,4,3,5,1,2
161,1,26,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,4,2,1,0,4,3,5,1,2
1805,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,1,4,1,1,0
204,1,26,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,2,0,4,3,5,1,1
989,2,19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,3,1,2,4,4,3,5,2,1
685,1,23,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,1,2,1,4,3,5,1,1
1588,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,2,5,0,1,2
58,1,21,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,1,0,2,4,0,3,3,4,3,5,1,1
1070,2,16,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,1,0,2,4,2,3,3,4,3,5,1,2
1028,1,15,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,2,1
1302,1,23,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,3,4,4,3,5,0,2,3
293,1,26,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,2,0,3,0,4,3,5,2,1
1737,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,0,2,0,1,1
1060,1,25,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,4,4,3,5,1,1
876,1,20,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,3,4,3,5,1,1
596,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,1,3,4,3,5,1,0
1672,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,3,4,1,1,4,1,1,1
191,1,26,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2,4,3,5,1,1
1335,1,18,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,3,4,0,2,4,1,1,2
974,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,3,0,4,3,5,1,1
7,1,11,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,3,3,4,3,5,1,2
257,1,26,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,4,2,1,1,4,3,5,1,1
1416,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,3,4,3,1,4,1,1,1
786,1,23,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,2,2,4,3,5,1,1
1207,1,24,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,3,4,3,2,2
1205,1,11,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,5,4,6,2,3
1130,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,4,3,3,0,3,1,1
1380,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,2,0,2,3,1,2
1480,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,0,1,4,1,1,1
709,1,25,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,3,2,3,3,4,3,5,1,1
338,1,26,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,2,0,3,3,4,3,5,1,2
1071,1,18,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,3,3,3,4,3,4,3,5,1,1
1814,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,1,1,4,1,1,1
1144,2,7,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,3,4,3,0,2,3,1,1
1576,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,2,3,3,4,3,3,5,3,1,1
986,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3,4,3,4,3,5,1,1
1890,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,4,3,4,3,1,4,1,1,1
1050,1,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,3,4,4,4,3,5,1,3
