,Answer ID,Date,Phase,Type of territory,Borough / Linked city,Trade status,Stakes: Financial support?,Stakes: Maintenance of operations?,Stakes: Taxation (taxes and levies)?,Stakes: Human resources?,Stakes: Regulation?,Stakes: Marketing?,Stakes: Health and safety?,Stakes: Search for sanitary equipment?,Stakes: Space planning?,Stakes: Permit for outdoor terraces?,Stakes: Other?,Interest in the emergency aid program?,Social media presence?,Presence on Facebook?,Presence on Twitter?,Presence on Instagram?,Presence on LinkedIn?,Do you sell online?,Online sales channel,Do you know the urban delivery service?,Are you interested in the urban delivery service?,Interest in the support program for the digital transformation of companies?,Do you offer a delivery service?,Are you satisfied with your current delivery service?,Would you be interested in the urban delivery service (by bike) set up by the City of Montreal and its partners if you had access?,Was the information we gave you useful to you?
12,13,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,Oui,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
13,14,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
14,15,2020-05-13,1,Arrondissement,Outremont,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
15,16,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
16,17,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
17,18,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
18,19,2020-05-13,1,Arrondissement,Outremont,Ouvert,,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
19,20,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,Oui,,,,,,,Oui,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
20,21,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
21,22,2020-05-13,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,Oui,,,,Oui,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
22,23,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,,,,,,,,,,,Oui,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
23,24,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Oui,Non,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
24,25,2020-05-13,1,Arrondissement,Outremont,Partiellement ouvert,,,,,,,,Oui,,,Oui,Oui,Non,,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
25,26,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,Oui,Oui,Oui,,Oui,Oui,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
26,27,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,,Oui,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
27,28,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Partiellement ouvert,Oui,,,,Oui,,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
28,29,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Fermé,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
29,30,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
30,31,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,"Oui, à l'aide d'un système maison, mais seulement depuis la crise",Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
31,32,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,Oui,Oui,,,,Non,Oui,Oui,,,Oui,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
32,33,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
33,34,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Partiellement ouvert,,,,,,,Oui,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
34,35,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
35,36,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
36,37,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
37,38,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,Oui,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
38,39,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
39,40,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
40,41,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,Oui,,,,,Oui,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
41,42,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
42,43,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,Oui,,,,,,,Oui,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
43,44,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Oui,Non,,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
44,45,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,Oui,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
45,46,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
46,47,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Statut inconnu,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
47,48,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
48,49,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
49,50,2020-05-13,1,Arrondissement,Outremont,Ouvert,Oui,,,,,Oui,,,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
50,51,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,,Oui,,Oui,Oui,Oui,Oui,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Oui,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
51,52,2020-05-13,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,Oui,,,,,Sans réponse,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
52,53,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,Oui,,Oui,,,,,,,Oui,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
53,54,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
54,55,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,Oui,Oui,Oui,Site transactionnel,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
55,56,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
56,57,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,Oui,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
57,58,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Partiellement ouvert,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
58,59,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
59,60,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Fermé,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
60,61,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,,Oui,,,,,Oui,Oui,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
61,62,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
62,63,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Sans réponse,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
63,64,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Ouvert,,,,Oui,,,,,,,Oui,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
64,65,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
65,66,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,Oui,,Oui,,,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
66,67,2020-05-13,1,Arrondissement,Ahuntsic-Cartierville,Ouvert,,,,,,,,,,,,Oui,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
67,68,2020-05-13,1,Arrondissement,Rosemont-La Petite-Patrie,Partiellement ouvert,Oui,Oui,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
68,69,2020-05-13,1,Arrondissement,Verdun,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,Oui,Oui,Site transactionnel,Oui,Non,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
69,70,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,Oui,,Oui,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
70,71,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,Oui,,Oui,,,,,Oui,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Sans réponse,Sans réponse,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
71,72,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,Oui,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,"Non, je n'ai pas d'intérêt à faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
72,73,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,Oui,Oui,Oui,Oui,Oui,Oui,Oui,,,Oui,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Je ne sais pas,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
73,74,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,Oui,,,,,Oui,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
74,75,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
75,76,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,Oui,,,,Oui,,,,,,Oui,Oui,Oui,,Oui,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
76,77,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Oui,"Système maison, disponible avant la crise",Non,Oui,"Non, j'ai déjà ce qu'il me faut pour faire un virage numérique",Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
77,78,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,Oui,Oui,,,,Oui,,,,,,Oui,Oui,Oui,,,,Oui,"Via un tiers (ex. : Amazon, Wayfair, Uber Eats, etc.)",Sans réponse,Sans réponse,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
78,79,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Ouvert,,,,,,,,,,,,Sans réponse,Oui,Oui,,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Non
79,80,2020-05-13,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,,,,Oui,,,,,,,Non,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
80,81,2020-05-14,1,,,Ouvert,,Oui,Oui,,,Oui,,,,,,Oui,Oui,,Oui,,,Oui,Site transactionnel,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
81,82,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,,,,,,,Oui,Oui,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
82,83,2020-05-14,1,Arrondissement,Le Plateau-Mont-Royal,Fermé,Oui,Oui,,,Oui,,Oui,Oui,,,,Oui,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
83,84,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Fermé,Oui,,,,,,,,,,,Oui,Non,,,,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
84,85,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,,,,,,,Oui,,,,,Non,Sans réponse,,,,,Réponse inconnue,Réponse inconnue,Non,Oui,Sans réponse,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Sans réponse
85,86,2020-05-14,1,Arrondissement,Villeray-Saint-Michel-Parc-Extension,Ouvert,Oui,,,,,,,,,,,Oui,Oui,Oui,,Oui,,Non,Pas de vente en ligne,Non,Oui,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
86,87,2020-05-14,1,Arrondissement,Côte-des-Neiges-Notre-Dame-de-Grâce,Partiellement ouvert,,,,,,,,,,,,Non,Oui,Oui,,,,Non,Pas de vente en ligne,Non,Non,Oui,Question non posée lors de l'appel,Question non posée lors de l'appel,Question non posée lors de l'appel,Oui
